Name;Date;Helpful;Comment;Rating
DANIELLE DUMARCHE;28 février 2020;3;"Quand elle fonctionne tout est parfait mais elle "" bug "" souvent et je dois la désinstaller et la réinstaller. Elle indique le temps mais pas les distances !";2
Aline de Brooklyn;11 mars 2020;1;Le gps de l'appli fait n'importe quoi ! C'est pour ça que j'ai essayé fréquence running et d'autres ! Par exemple j'ai fait 6km et runkeeper annonce 85!!!;1
Cliclac 90;11 mars 2020;0;Déçu de l'application elle s'arrête d'enregistrer l'activité à tous moments sans raison apparente !;2
nawel aitkaci;24 février 2020;4;Simple et efficace j'ai testé plusieurs applications et c'est ma préférée elle a en plus l'avantage de fonctionner avec ma montre Withings;5
Christel DADI;20 février 2020;5;Vraiment super appli facile à utiliser hyper pratique pour débuter. Merci;5
Daisy Charles;8 février 2020;4;Nul !!! Je cours avec mon conjoint. Je vois donc les kilomètres et le temps sur son application et runkeeper me met le bon timing mais décalage de 3 km en moins. En plus le timing beugait en cours de course pour au final être bon. Mais bon il le manque toujours des kilomètres a chaque course.;1
Valérie Nicolaï;16 février 2020;6;J'adorais cette appli mais le GPS n'est pas fiable. Distance parcourue différente par rapport à toutes les autres applis. C'est un point essentiel sur ce type d'outil...dommage !;2
franck keus;8 février 2020;2;Très bonne application  cependant messieurs les développeurs  depuis mon changement de téléphone un Honor view 20 quand je veux partager ma séance avec une photo  l'appareil prend la photo mais le résultat est tout blanc  donc obligé de partager mon trajet  pouvez vous résoudre cela ?;4
Nick ADAMS;28 décembre 2019;13;Catastrophe. L'appli décroche régulièrement durant l'effort et l'enregistrement n'est donc pas conforme à la réalité. Je ne conserve pas ce truc trop imprécis;1
Nath Beauboire;26 janvier 2020;0;Facile et déjà très complet même en version gratuite. Permet de suivre ses activités sportives. Le petit plus : les encouragements réguliers.;5
Claire BLANCHARD;16 janvier 2020;0;Runkeeper ne fonctionne plus sur mon phone... il reste à zéro... j'ignore pourquoi... je l'ai utilisé il y a un an sans problème... si quelqu'un peut m'aider... merci;1
Stéphanie D;24 janvier 2020;12;Vraiment très pratique pour comptabiliser toutes les sortie plein air.. que ce soit à la course en ski ou à vélo!;5
Sophie Oddo;22 février 2020;0;L appli en elle même n est pas mal mais a chaque ouverture il faut que je retape mon poids car il ne l enregistre pas ! Dommages..;4
Aurelie Templier;3 février 2020;0;Facile d'utilisation et des données utiles pour accompagner un débutant. En tout cas moi ça m'aide à progresser.;5
Arnaud nono18;14 janvier 2020;1;Super appli Je cours avec depuis plusieurs années. Je ne peux plus courir sans.;4
Patrick Lacasse;2 janvier 2020;3;Excellente application! Je l'utilise depuis 3 ans dans sa version gratuite et elle est presque parfaite!;5
jacques VAILLANT;8 février 2020;3;Cette appli me permet d'enregistrer mes parcours avec le temps ( heures et minutes ) et les distances...;4
